Гори                :::s9620342            
Казарма 30 км       :::s9608134            
Новые Ляды (38 км)  :::s9608135            
Залесная            :::s9608138            
Куликовка           :::s9608139            
48 км               :::s9608140            
Крутой Лог (77 км)  :::s9608141            
Геологи (54 км)     :::s9608142            
Алебастрово         :::s9608143            
101 км              :::s9608144            
Посёлок Пятый км (5 км):::s9608145            
Красная Слудка (12 км):::s9608146            
Дачная (22 км)      :::s9608147            
Путейская (29 км)   :::s9608148            
Пасечный хутор (32 км):::s9608149            
56 км               :::s9608151            
66 км               :::s9608152            
Кыж                 :::s9608153            
Мальцево (77 км)    :::s9608154            
Баташата (98 км)    :::s9608155            
Рассольный          :::s9608158            
159 км              :::s9608180            
132 км              :::s9608266            
144 км              :::s9608267            
43 км               :::s9608268            
35 км               :::s9608269            
Подтонь             :::s9608270            
70 км               :::s9608271            
Ваневка (83 км)     :::s9608272            
124 км              :::s9608291            
195 км              :::s9608298            
145 км              :::s9608299            
210 км              :::s9608300            
Кинчак              :::s9612092            
Осиновая Гора       :::s9612108            
Трун                :::s9612117            
Рабак               :::s9612346            
Агарзя              :::s9612347            
Щучье Озеро         :::s9612348            
Атер                :::s9612349            
Бартым              :::s9612350            
Сарс                :::s9612351            
Ненастье            :::s9612352            
Стреж               :::s9612487            
1253 км             :::s9612630            
1331 км             :::s9612631            
1281 км             :::s9612837            
1436 км             :::s9633774            
Медовый Дол (1470 км):::s9633775            
1478 км             :::s9633776            
Лесная Поляна       :::s9633777            
Каменка (73 км)     :::s9633778            
130 км              :::s9633779            
Калиец              :::s9633780            
66 км               :::s9633781            
94 км               :::s9633782            
241 км              :::s9633811            
195 км              :::s9633815            
Лек                 :::s9633842            
25 км               :::s9633843            
Невидимка           :::s9633845            
1245 км             :::s9657444            
1257 км             :::s9657445            
1266 км             :::s9657446            
1279 км             :::s9657447            
Бикбардинский (1283 км):::s9657448            
1287 км             :::s9657449            
1295 км             :::s9657450            
1309 км             :::s9657451            
1314 км             :::s9657452            
1317 км             :::s9657453            
1320 км             :::s9657454            
1341 км             :::s9657455            
1350 км             :::s9657456            
1354 км             :::s9657457            
1362 км             :::s9657458            
1371 км             :::s9657459            
1375 км             :::s9657460            
1383 км             :::s9657461            
1406 км             :::s9670913            
1478 км             :::s9670915            
Платошино           :::s9670916            
Лесная Поляна       :::s9670917            
25 км               :::s9670918            
Рейда               :::s9877052            
Никитино            :::s9877053            
Копи                :::s9607478            
Соликамск-1         :::s9607443            
Соликамск-2         :::s9607475            
Углеуральская       :::s9607426            
Сайгатка            :::s9612340            
Куеда               :::s9612373            
Губаха-Пасс.        :::s9607480            
Губаха              :::s9607820            
Губаха бп           :::s9608322            
Всеволодо-Вильва    :::s9607836            
Верещагино          :::s9607414            
Кизел               :::s9607463            
Технический (116 км):::s9607753            
Обогатитель         :::s9607837            
Березники           :::s9607453            
Березники-Сорт.     :::s9607476            
Заячья Горка        :::s9607835            
Калийная            :::s9607923            
Березники-Сорт. парк П:::s9851617            
Ляды                :::s9607498            
Яйва                :::s9607477            
Баская              :::s9607485            
Пашия               :::s9607489            
Горнозаводск        :::s9613981            
Шира                :::s9608850            
Означенное          :::s9623954            
Тигей               :::s9608930            
Туманный            :::s9609163            
Турбаза «Восход» (140 км):::s9608738            
Скальная            :::s9608739            
Западный Портал     :::s9608742            
Ясная Полянка       :::s9608743            
Районная Подстанция :::s9608744            
Урожайная           :::s9608745            
Бискамжа            :::s9608843            
Июс                 :::s9608849            
Туим                :::s9608851            
Тисин               :::s9608853            
Ербинская           :::s9608854            
Усть-Бирь           :::s9608855            
Уйбат               :::s9608856            
Капчалы             :::s9608857            
Оросительный        :::s9608858            
Сон                 :::s9608919            
Подсиний            :::s9608926            
Ташеба              :::s9608927            
Хоных               :::s9608931            
Камышта             :::s9608932            
Бельтыры            :::s9608933            
Усть-Есь            :::s9608934            
Хараджуль           :::s9608935            
Балыксу             :::s9608938            
Алатау              :::s9608939            
Хабзас              :::s9608940            
Биркчул             :::s9608941            
Югачи               :::s9608943            
Казановская         :::s9608944            
250 км              :::s9608974            
Локомотивное Депо   :::s9608987            
Ворошилово          :::s9608994            
Усть-Тыштып         :::s9608995            
Сартабан            :::s9608996            
192 км              :::s9609056            
Утиное Озеро        :::s9609058            
Дачи                :::s9609061            
База МK             :::s9609062            
Дачная              :::s9609064            
Красное Озеро       :::s9609065            
Путейский Городок   :::s9609067            
Питомник            :::s9609068            
Енисейская          :::s9609070            
Историческая        :::s9609121            
Верхний Аскиз       :::s9609122            
Раздольная          :::s9609123            
Чартыковский        :::s9609124            
Уйтак               :::s9609125            
Кизлас              :::s9609127            
Кирба               :::s9609128            
Ханкуль             :::s9609187            
Сартак              :::s9609188            
Калтас              :::s9609192            
Чарыш               :::s9609193            
Шора                :::s9609194            
Казынет             :::s9609195            
Нанхчул             :::s9609197            
Зелёный Лог         :::s9609212            
Сорокаозёрки        :::s9623951            
Сорокаозёрки        :::s9623952            
Саяногорск          :::s9623955            
Таштып              :::s9670951            
142 км              :::s9848439            
152 км              :::s9848440            
165 км              :::s9848441            
177 км              :::s9848442            
188 км              :::s9848443            
196 км              :::s9848444            
203 км              :::s9848445            
309 км              :::s9848446            
320 км              :::s9848447            
343 км              :::s9848448            
351 км              :::s9848449            
303 км              :::s9868873            
Аскиз               :::s9608894            
Абакан              :::s9608904            
Мостоотряд          :::s9609069            
Городок ПМС         :::s9609104            
Абаза               :::s9608936            
Майна               :::s9623956            
Черемушки           :::s9623957            
Палагиада           :::s9613135            
Железноводск        :::s9613059            
Зеленокумск         :::s9613202            
Георгиевск          :::s9613200            
Ессентуки           :::s9612992            
Благодарное         :::s9613788            
Буденновск          :::s9613184            
Белый Уголь         :::s9613258            
Бештау              :::s9613055            
Змейка              :::s9613265            
Овечка              :::s9612933            
Киан                :::s9612939            
Водораздел          :::s9612940            
Нагутская           :::s9612943            
Кумагорск           :::s9612946            
Виноградная         :::s9612948            
Зольский            :::s9612949            
Стодеревская        :::s9613009            
Иноземцево          :::s9613074            
Большевистская Искра:::s9613094            
Краснокубанская     :::s9613130            
Григорополисская    :::s9613131            
Передовая           :::s9613133            
Рыздвяная           :::s9613134            
Спицевка            :::s9613137            
Кугуты              :::s9613138            
Рогатая Балка       :::s9613148            
Мокрая Буйвола      :::s9613149            
147 км              :::s9613189            
146 км              :::s9613192            
145 км              :::s9613193            
141 км              :::s9613194            
Кума                :::s9613201            
Маслов Кут          :::s9613203            
Плаксейка           :::s9613204            
Подкумок            :::s9613257            
Золотушка           :::s9613259            
Машук               :::s9613263            
5 км                :::s9613266            
Михайловская        :::s9613398            
8 км                :::s9613403            
Красная Деревня     :::s9613404            
Кармалиновский      :::s9613508            
Нины                :::s9613537            
Обильный            :::s9613538            
Чистая              :::s9613541            
Этока               :::s9613543            
1844 км             :::s9613544            
1842 км             :::s9613545            
1814 км             :::s9613546            
Орбельяново         :::s9613547            
Куршава             :::s9613548            
Пионер              :::s9613550            
Дворцовый           :::s9613551            
Теплая Речка        :::s9613559            
1863 км             :::s9613560            
1854 км             :::s9613561            
Путепровод          :::s9613562            
1824 км             :::s9613563            
1806 км             :::s9613564            
1794 км             :::s9613565            
Крым-Гиреево        :::s9613566            
1784 км             :::s9613567            
Суркуль             :::s9613568            
1774 км             :::s9613569            
1764 км             :::s9613570            
1752 км             :::s9613571            
1749 км             :::s9613572            
1741 км             :::s9613573            
1738 км             :::s9613574            
1737 км             :::s9613575            
1725 км             :::s9613576            
1717 км             :::s9613577            
Нескучный           :::s9613578            
1704 км             :::s9613579            
1695 км             :::s9613580            
4 км                :::s9613624            
Суворовская         :::s9613762            
Дегтяревский        :::s9613785            
Дебри               :::s9613794            
Старомарьевская     :::s9613817            
1746 км             :::s9756512            
Сельхозтехника      :::s9756513            
1820 км             :::s9756514            
Канглы              :::s9756515            
1856 км             :::s9756518            
1861 км             :::s9756519            
147 км              :::s9756531            
129 км              :::s9756532            
144 км              :::s9756533            
7 км                :::s9756534            
Андреевский         :::s9813709            
Отказное            :::s9813710            
Богословская        :::s9612934            
Курсавка            :::s9612941            
Ставрополь          :::s9613524            
149 км              :::s9613180            
Дивное              :::s9613143            
Минеральные Воды    :::s9613073            
3 км                :::s9613196            
1832 км             :::s9756516            
Стекольный завод    :::s9756517            
Кисловодск          :::s9612962            
Минутка             :::s9613256            
Ипатово             :::s9613140            
Изобильная          :::s9613176            
Пятигорск           :::s9612972            
Скачки              :::s9613260            
Новопятигорск       :::s9613261            
Лермонтовский       :::s9613262            
Аполлонская         :::s9612950            
Расшеватка          :::s9613031            
Невинномысская      :::s9613122            
Зеленчук            :::s9612938            
Светлоград          :::s9613145            
Крутые Пески        :::s9613397            
Шестихино           :::s9604122            
Лом                 :::s9604127            
Гаврилов Ям         :::s9604382            
Козьмодемьянск      :::s9604145            
323 км              :::s9604435            
Ваулово             :::s9639389            
Варегово            :::s9600315            
Кубринск            :::s9600316            
Красное             :::s9602566            
40 км               :::s9603307            
Приволжье           :::s9603936            
300 км              :::s9603998            
Скалино             :::s9604112            
Марфино             :::s9604114            
Макарово            :::s9604116            
Пуршево             :::s9604118            
Маслово             :::s9604120            
Волга               :::s9604124            
Кобостово           :::s9604125            
Тихменево           :::s9604126            
Ваулово             :::s9604128            
Чёбаково            :::s9604129            
Лютово              :::s9604134            
Тощиха              :::s9604135            
Бурмакино           :::s9604136            
Пантелеево          :::s9604138            
Путятино            :::s9604139            
Пучковский          :::s9604140            
Уткино              :::s9604141            
Коромыслово         :::s9604146            
Семибратово         :::s9604147            
Сильницы            :::s9604150            
Итларь              :::s9604151            
Беклемишево         :::s9604153            
Рязанцево           :::s9604154            
Шушково             :::s9604155            
Берендеево          :::s9604156            
Секша               :::s9604199            
Жарок-Ярославский   :::s9604202            
Соть                :::s9604203            
Лунка               :::s9604204            
Дунайка             :::s9604265            
Липовая Гора        :::s9604266            
155 км              :::s9604288            
142 км              :::s9604289            
147 км              :::s9604290            
187 км              :::s9604291            
231 км              :::s9604292            
259 км              :::s9604293            
268 км              :::s9604294            
274 км              :::s9604295            
310км               :::s9604297            
322км               :::s9604298            
331км               :::s9604299            
343км               :::s9604300            
351км               :::s9604301            
359 км              :::s9604353            
370 км              :::s9604354            
378 км              :::s9604355            
388 км              :::s9604356            
399 км              :::s9604358            
409 км              :::s9604359            
419 км              :::s9604360            
Коченятино          :::s9604366            
Багримово           :::s9604368            
Река                :::s9604369            
Сосновцы            :::s9604370            
Догадцево           :::s9604374            
Кудрявцево          :::s9604378            
Просвет             :::s9604380            
Левцово             :::s9604384            
Хожаево             :::s9604388            
Цибирино            :::s9604391            
Рокша               :::s9604392            
69 км               :::s9604433            
56 км               :::s9604434            
296км               :::s9604440            
305км               :::s9604441            
310км               :::s9604442            
318км               :::s9604443            
265 км              :::s9604459            
285 км              :::s9604460            
Юринский            :::s9604637            
Торопово            :::s9604638            
Пиняги              :::s9604639            
Чижово              :::s9604640            
Клинцево            :::s9604641            
Тенино              :::s9604642            
Молот               :::s9604643            
Телищево            :::s9604644            
Сахареж             :::s9604645            
Деболовская         :::s9604647            
Руша                :::s9604652            
2 км                :::s9633592            
403 км              :::s9633593            
362 км              :::s9633594            
359 км              :::s9633595            
296км               :::s9633874            
306км               :::s9633875            
353 км              :::s9633878            
Веретье             :::s9633911            
Льнозавод           :::s9633918            
Муринское           :::s9633920            
Онаньино            :::s9633921            
Шолосово            :::s9633928            
24 км               :::s9634128            
29 км               :::s9634129            
Родионово           :::s9639390            
Уткино              :::s9639391            
Путятино            :::s9639392            
Соть                :::s9639393            
412 км              :::s9845044            
Углич               :::s9603113            
Ярославль-Главный   :::s9603934            
Ярославль (Московский вокзал):::s9603935            
Филино              :::s9603937            
Ярославль (депо)    :::s9604296            
Которосль           :::s9604675            
Полянки             :::s9604646            
Дунайка             :::s9639398            
Ярославль (город)   :::s9603933            
Некоуз              :::s9604121            
Любим               :::s9604200            
Пречистое           :::s9604115            
Петровск            :::s9604149            
Тутаево             :::s9623513            
Рыбинск-Пасс.       :::s9604172            
Рыбинск             :::s9604216            
Рыбинск-Тов.        :::s9604267            
Ростов-Ярославский  :::s9604148            
Переславль          :::s9623512            
Данилов             :::s9604244            
Костылево           :::s9604069            
Карпогоры-Пасс.     :::s9604093            
Карпогоры-Тов.      :::s9604264            
Вельск              :::s9603953            
Няндома             :::s9604142            
Сия                 :::s9604263            
Емца                :::s9603961            
Ломовое             :::s9603939            
Нёнокса             :::s9750088            
Кулой               :::s9604072            
Малошуйка           :::s9604113            
Сольвычегодск       :::s9604051            
Коноша-1            :::s9603999            
Коноша-2            :::s9604625            
Архангельск-Город   :::s2010400            
Исакогорка          :::s9600168            
1127 км             :::s9604331            
Бакарица            :::s9604557            
Смольный Буян       :::s9634726            
Депо                :::s9750079            
Лесозавод           :::s9750080            
Архангельск         :::s9604357            
Обозерская          :::s9604152            
Виледь              :::s9604048            
Урдома              :::s9604044            
Приводино           :::s9604251            
Валдеево            :::s9604079            
Соломбалка          :::s9877151            
Тегрозеро           :::s9600222            
Авнюг               :::s9600223            
Липаково            :::s9600224            
Янгоры              :::s9600227            
Пукса               :::s9600228            
Тундра              :::s9603938            
Лиственничный       :::s9603940            
Холмогорская        :::s9603941            
Малька              :::s9603942            
Пермилово           :::s9603944            
Унежма              :::s9603945            
Сулозеро            :::s9603946            
Куша                :::s9603947            
Шунданец            :::s9603948            
Нименга             :::s9603949            
Поньга              :::s9603950            
Грибаниха           :::s9603951            
Вонгуда             :::s9603952            
Глазаниха           :::s9603954            
Мудьюга             :::s9603955            
Кодино              :::s9603956            
Мошное              :::s9603957            
Большая Кяма        :::s9603958            
Урамец              :::s9603959            
Кухтоозерский       :::s9603960            
Шелекса             :::s9603963            
Тарза               :::s9603965            
Ивакша              :::s9603966            
Шалакуша            :::s9603968            
Междудворье         :::s9603969            
Лельма              :::s9603970            
Шестиозерский       :::s9603972            
Зарученье           :::s9603973            
Бурачиха            :::s9603974            
Полоха              :::s9603975            
Вандыш              :::s9603976            
Фоминская           :::s9603977            
Мелентьевский       :::s9603978            
Колфонд             :::s9603979            
Ерцево              :::s9603980            
Лухтонга            :::s9603981            
Паленьга            :::s9604036            
Шиес                :::s9604042            
Слободчиково        :::s9604045            
Светик              :::s9604046            
Кивер               :::s9604047            
Черёмуха            :::s9604049            
Низовка             :::s9604050            
Реваж               :::s9604053            
Копосово            :::s9604055            
Удима               :::s9604056            
Вонжуга             :::s9604060            
Лойга               :::s9604062            
Уфтюга (952 км)     :::s9604063            
Сулонда             :::s9604065            
Илеза               :::s9604066            
Шурай               :::s9604067            
Шангалы             :::s9604068            
Кокшеньга           :::s9604070            
Сельменьга (857 км) :::s9604071            
778 км (Солга)      :::s9604074            
Усть-Шоноша         :::s9604075            
Юра                 :::s9604076            
Подюга              :::s9604077            
Норменга            :::s9604078            
Келарева Горка      :::s9604080            
Вересово            :::s9604081            
793 км              :::s9604096            
4 км                :::s9604130            
Посна               :::s9604131            
Брусеница           :::s9604143            
Илес                :::s9604144            
Савватия            :::s9604241            
78 км               :::s9604254            
Гарь                :::s9604258            
Тимме               :::s9604262            
Верхняя Синега      :::s9604270            
62 км               :::s9604287            
717 км              :::s9604311            
728 км              :::s9604312            
738 км              :::s9604313            
744 км              :::s9604314            
757 км              :::s9604315            
786 км              :::s9604316            
943 км              :::s9604318            
976 км              :::s9604320            
1008 км             :::s9604321            
1028 км             :::s9604323            
1059 км             :::s9604325            
1076 км             :::s9604327            
1096 км             :::s9604329            
1113 км             :::s9604330            
7 км                :::s9604332            
26 км               :::s9604333            
34 км               :::s9604334            
22 км               :::s9604335            
7 км                :::s9604337            
15 км               :::s9604338            
21 км               :::s9604339            
27 км               :::s9604340            
32 км               :::s9604341            
36 км               :::s9604342            
48 км               :::s9604343            
54 км               :::s9604344            
102 км              :::s9604346            
152 км              :::s9604349            
176 км              :::s9604350            
197 км              :::s9604351            
201 км              :::s9604352            
16 км               :::s9604371            
Ватса               :::s9604403            
Перхино             :::s9604411            
28 км               :::s9604420            
5 км                :::s9604421            
335 км              :::s9604426            
Щипаховский         :::s9604437            
212 км              :::s9604455            
205 км              :::s9604456            
183 км              :::s9604457            
831 км              :::s9604461            
835 км              :::s9604462            
838 км              :::s9604463            
843 км              :::s9604464            
827 км              :::s9604465            
880 км              :::s9604468            
884 км              :::s9604469            
892 км              :::s9604470            
896 км              :::s9604471            
903 км              :::s9604472            
907 км              :::s9604473            
917 км              :::s9604475            
921 км              :::s9604476            
930 км              :::s9604477            
933 км              :::s9604478            
937 км              :::s9604479            
1096 км             :::s9604482            
1121 км             :::s9604483            
1141 км             :::s9604486            
1153 км             :::s9604487            
1165 км             :::s9604488            
1169 км             :::s9604489            
1174 км             :::s9604490            
1180 км             :::s9604491            
1186 км             :::s9604492            
30 км               :::s9604529            
60 км               :::s9604530            
91 км               :::s9604532            
95 км               :::s9604533            
100 км              :::s9604534            
371 км              :::s9604541            
369 км              :::s9604542            
365 км              :::s9604543            
Переезд (364 км)    :::s9604544            
359 км              :::s9604545            
346 км              :::s9604546            
389 км              :::s9604550            
Кеница              :::s9604555            
Лодьма              :::s9604556            
Рикасиха            :::s9604558            
Лайская             :::s9604559            
Васьково            :::s9604560            
Шастинский          :::s9604561            
Тесовка             :::s9604562            
Костринский Ручей   :::s9604563            
Летнеозерский       :::s9604564            
922 км              :::s9604565            
Зелёный             :::s9604567            
Ширихановский       :::s9604568            
Чокур (1162 км)     :::s9604607            
Пырский             :::s9604609            
Лименда             :::s9604610            
Вага                :::s9604618            
Пежма               :::s9604621            
Хмельники           :::s9604623            
Можуга              :::s9604624            
Берёзовый           :::s9604667            
Заовражье           :::s9604668            
Глубокое-Новое      :::s9604670            
Жаровиха            :::s9604672            
672 км              :::s9633902            
686 км              :::s9633903            
690 км              :::s9633904            
695 км              :::s9633905            
1078 км             :::s9634545            
1129 Км             :::s9634546            
Юрас                :::s9634731            
769 км              :::s9730088            
25 км               :::s9730089            
27 км               :::s9730090            
37 км               :::s9730091            
42 км               :::s9730092            
79 км               :::s9730093            
730 км              :::s9730094            
744 км              :::s9730095            
746 км              :::s9730096            
757 км              :::s9730097            
771 км              :::s9730098            
784 км              :::s9730099            
816 км              :::s9730100            
818 км              :::s9730101            
863 км              :::s9730102            
867 км              :::s9730103            
873 км              :::s9730104            
944 км              :::s9730105            
948 км              :::s9730106            
956 км              :::s9730107            
962 км              :::s9730108            
977 км              :::s9730109            
986 км              :::s9730110            
1001 км             :::s9730111            
1032 км             :::s9730114            
1047 км             :::s9730115            
1056 км             :::s9730116            
1059 км             :::s9730117            
Переезд             :::s9730118            
1071 км             :::s9730119            
397 км              :::s9730120            
1129 км             :::s9730121            
1157 км             :::s9730122            
1182 км             :::s9730123            
801 км              :::s9750052            
810 км              :::s9750053            
832 км              :::s9750054            
840 км              :::s9750055            
846 км              :::s9750056            
851 км              :::s9750057            
868 км              :::s9750058            
875 км              :::s9750059            
898 км              :::s9750060            
Утицы               :::s9750061            
930 км              :::s9750062            
960 км              :::s9750063            
964 км              :::s9750064            
973 км              :::s9750065            
Великоозерский      :::s9750066            
986 км              :::s9750067            
350 км              :::s9750068            
344 км              :::s9750069            
331 км              :::s9750070            
313 км              :::s9750071            
297 км              :::s9750072            
229 км              :::s9750073            
227 км              :::s9750074            
202 км              :::s9750075            
191 км              :::s9750076            
1106 км             :::s9750078            
36 км               :::s9750081            
Кудьма              :::s9750083            
СОТ Уйма            :::s9750084            
Уйма                :::s9750085            
Солза               :::s9750086            
22 км               :::s9750087            
1112 км             :::s9865785            
Партизанская (Повракулка):::s9877155            
Черная Курья        :::s9877161            
ЖБИ                 :::s9877167            
ТЭЦ                 :::s9877173            
Северные зори       :::s9878549            
Юрьевский Рубеж     :::s9885264            
Луковецкий          :::s9604554            
Кизема              :::s9604061            
Ядриха              :::s9604052            
Шожма               :::s9604566            
243 км              :::s9604438            
Северодвинск        :::s2010320            
Морской проспект    :::s9750082            
Плесецкая           :::s9603964            
Котлас-Южный        :::s9604083            
Котлас-Узловой      :::s9604615            
381 км              :::s9604481            
Мостозавод          :::s9604614            
Большая Слободка    :::s9604253            
Котлас-Северный     :::s9604611            
Котлас              :::s9604084            
Онега               :::s2010021            
Лепша               :::s9603967            
Вичуга              :::s9604217            
Кинешма             :::s9603989            
Комсомольск         :::s9623879            
Ермолино            :::s9604220            
Горкино             :::s9604218            
Каминский           :::s9604219            
Ладыгино            :::s9604224            
Оболсуново          :::s9604228            
Якшинский           :::s9604230            
Нерль               :::s9604232            
Петровская          :::s9604233            
344км               :::s9604446            
Пешково             :::s9604659            
Горино              :::s9604661            
Ворожино            :::s9604662            
Пелгусово           :::s9604664            
Сахтыш              :::s9604665            
Осановец            :::s9604666            
Домовицы            :::s9604671            
Игнатьевская        :::s9604673            
Красносельская      :::s9604676            
Строкино            :::s9604683            
373км               :::s9623133            
352км               :::s9633877            
Шорыгино            :::s9635268            
Пешково             :::s9639400            
335 км              :::s9866461            
Шуя                 :::s9604223            
Кохма               :::s9604222            
Гаврилов Посад      :::s9604234            
Савино              :::s9604226            
Приволжск           :::s9886036            
Иваново             :::s2010050            
Текстильный         :::s9604663            
Иваново-Сорт.       :::s9604409            
Иваново Город       :::s9604054            
Фурманов            :::s9604215            
Малаховская         :::s9639401            
Малаховская         :::s9604657            
Тейково             :::s9604229            
Армавир-1-Ростовский:::s9613141            
Армавир-2-Туапсинский:::s9613190            
1656 км (Мясокомбинат):::s9756511            
Армавир             :::s9613191            
Апшеронская         :::s9613043            
Белореченская       :::s9613151            
Аше                 :::s9613236            
Усть-Лабинская      :::s9613107            
Пластуновская       :::s9613097            
Крыловская          :::s9612920            
Холмская            :::s9613678            
Кавказ              :::s9613549            
Порт-Кавказ         :::s9623316            
Белоглинская        :::s9613168            
Ахтырская           :::s9613085            
Ахтари              :::s9613790            
Тихорецкая          :::s9613161            
Брюховецкая         :::s9612978            
Кореновск           :::s9613166            
Адлер               :::s9613054            
Известия            :::s9613269            
Платнировская       :::s9613099            
Албаши              :::s9613052            
Динская             :::s9613096            
640 км              :::s9750137            
Темрюк              :::s9613080            
Гулькевичи          :::s9613127            
Леушковская         :::s9612923            
Краснодар-Сорт.     :::s9613591            
Краснодар-1         :::s9613602            
Завод имени Седина  :::s9750095            
Пашковская          :::s9613775            
Краснодар-2         :::s9613830            
Краснодар-1 Тур     :::s9887162            
МЖК                 :::s9750123            
Табаккомбинат       :::s9750124            
Фабрика кожизделий  :::s9750125            
ЗИП                 :::s9750126            
Сады                :::s9750127            
Парк А              :::s9750134            
130 км              :::s9750139            
128 км              :::s9750140            
666 км              :::s9870674            
Краснодар           :::s9613590            
Афипская            :::s9613090            
Канеловский         :::s9613529            
Ильская             :::s9613087            
Хадыженская         :::s9613186            
Курганная           :::s9612987            
Протока             :::s9613197            
Выселки             :::s9613100            
Выселки (Больница)  :::s9639422            
Псебай              :::s9623317            
Лабинская           :::s9613215            
Хоста               :::s9612922            
Сочи                :::s9613034            
Мацеста             :::s9612976            
Веселое             :::s9613006            
Олимпийская деревня :::s9812788            
Имеретинский курорт (Олимпийский парк):::s9812789            
Аэропорт Сочи       :::s9882415            
Мамайка             :::s9613223            
Кудепста            :::s9613270            
Стадион             :::s9613272            
Сочи серсис         :::s9613840            
Сочи тавс           :::s9613842            
Сочи тк             :::s9613844            
Сочи холидейз       :::s9613874            
Малый Ахун          :::s9637638            
Новороссийск        :::s9613022            
805 км              :::s9750111            
Тимашевская-1       :::s9613181            
Тимашевский обход   :::s9634289            
Сахарный завод      :::s9750130            
Электродепо         :::s9750131            
Греческий           :::s9613101            
Кривенковская       :::s9613185            
Цыпка               :::s9613248            
Кирпичный           :::s9613275            
Бейсужек            :::s9613592            
63 км               :::s9750129            
Горняк (1860 км)    :::s9750167            
Дачный              :::s9750168            
Степная             :::s9612918            
Куринский           :::s9612924            
Малороссийская      :::s9612925            
Мирская             :::s9612926            
Гирей               :::s9612928            
Кубанская           :::s9612930            
Коноково            :::s9612931            
Водопадный          :::s9612974            
Кавалерский         :::s9612983            
Кара-Джалка         :::s9612984            
Андреедмитриевка    :::s9612985            
Чамлык              :::s9612986            
Пшехская            :::s9612994            
Комсомольская       :::s9612995            
Тверская            :::s9612996            
Кабардинская        :::s9612998            
Навагинская         :::s9613000            
Пшиш                :::s9613001            
Гойтх               :::s9613003            
Якорная Щель        :::s9613005            
Бурсак              :::s9613027            
Родниковская        :::s9613035            
